"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"230",230,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",16,1.35105204872647,0.19047619047619,0.0524590163934426,17,1.13581599123768,0.204819277108434,0.0557377049180328,20,1.59769512833944,0.240963855421687,0.0655737704918033
"231",231,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",22,1.47213690215007,0.207547169811321,0.0721311475409836,20,1.10909090909091,0.2,0.0655737704918033,26,1.69011082693947,0.254901960784314,0.0852459016393443
"232",232,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",15,1.29750425411231,0.182926829268293,0.0491803278688525,17,1.14966740576497,0.207317073170732,0.0557377049180328,20,1.65760869565217,0.25,0.0655737704918033
"233",233,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",16,1.49326805385557,0.210526315789474,0.0524590163934426,17,1.13581599123768,0.204819277108434,0.0557377049180328,15,1.24320652173913,0.1875,0.0491803278688525
"823",823,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",11,1.41860465116279,0.2,0.0360655737704918,15,1.2415196743555,0.223880597014925,0.0491803278688525,13,1.32608695652174,0.2,0.0426229508196721
"825",825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",14,1.7421460628315,0.245614035087719,0.0459016393442623,16,1.21544209215442,0.219178082191781,0.0524590163934426,15,1.42080745341615,0.214285714285714,0.0491803278688525
"826",826,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",14,1.32403100775194,0.186666666666667,0.0459016393442623,22,1.34065934065934,0.241758241758242,0.0721311475409836,15,1.1431784107946,0.172413793103448,0.0491803278688525
"827",827,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",12,1.23356926188069,0.173913043478261,0.039344262295082,20,1.38636363636364,0.25,0.0655737704918033,13,1.1341533180778,0.171052631578947,0.0426229508196721
"828",828,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",11,1.14740082079343,0.161764705882353,0.0360655737704918,20,1.40391254315305,0.253164556962025,0.0655737704918033,13,1.1341533180778,0.171052631578947,0.0426229508196721
"829",829,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",12,1.35105204872647,0.19047619047619,0.039344262295082,17,1.29140722291407,0.232876712328767,0.0557377049180328,12,1.10507246376812,0.166666666666667,0.039344262295082
"830",830,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",13,1.2460716530484,0.175675675675676,0.0426229508196721,22,1.35555555555556,0.244444444444444,0.0721311475409836,15,1.1431784107946,0.172413793103448,0.0491803278688525
"967",967,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",11,1.3688290493676,0.192982456140351,0.0360655737704918,18,1.36737235367372,0.246575342465753,0.059016393442623,19,1.72572960095295,0.26027397260274,0.0622950819672131
"968",968,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",10,1.28964059196617,0.181818181818182,0.0327868852459016,18,1.40588988476312,0.253521126760563,0.059016393442623,19,1.79968944099379,0.271428571428571,0.0622950819672131
"973",973,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",14,1.36030582988213,0.191780821917808,0.0459016393442623,15,1.12407862407862,0.202702702702703,0.0491803278688525,21,1.69803817603393,0.25609756097561,0.0688524590163934
"979",979,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",22,1.14740082079343,0.161764705882353,0.0721311475409836,30,1.30994989262706,0.236220472440945,0.0983606557377049,28,1.29826695044086,0.195804195804196,0.0918032786885246
"992",992,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",10,1.36404293381038,0.192307692307692,0.0327868852459016,16,1.34435261707989,0.242424242424242,0.0524590163934426,18,1.83612040133779,0.276923076923077,0.059016393442623
"993",993,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",15,1.54196157735086,0.217391304347826,0.0491803278688525,14,1.10909090909091,0.2,0.0459016393442623,21,1.71900161030596,0.259259259259259,0.0688524590163934
"994",994,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",14,1.48212426240889,0.208955223880597,0.0459016393442623,14,1.14171122994652,0.205882352941176,0.0459016393442623,21,1.78511705685619,0.269230769230769,0.0688524590163934
"995",995,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",18,1.21594684385382,0.171428571428571,0.059016393442623,27,1.38636363636364,0.25,0.0885245901639344,27,1.53010033444816,0.230769230769231,0.0885245901639344
"996",996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",20,1.26661129568106,0.178571428571429,0.0655737704918033,28,1.31587057010786,0.23728813559322,0.0918032786885246,28,1.50936726758572,0.227642276422764,0.0918032786885246
"997",997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",17,1.32507027855865,0.186813186813187,0.0557377049180328,21,1.25219941348974,0.225806451612903,0.0688524590163934,24,1.62377994676131,0.244897959183673,0.0786885245901639
"998",998,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",19,1.54905105586742,0.218390804597701,0.0622950819672131,22,1.29787234042553,0.234042553191489,0.0721311475409836,18,1.13664596273292,0.171428571428571,0.059016393442623
"999",999,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",12,1.25170998632011,0.176470588235294,0.039344262295082,19,1.35081585081585,0.243589743589744,0.0622950819672131,14,1.10507246376812,0.166666666666667,0.0459016393442623
"1000",1000,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",15,1.61205073995772,0.227272727272727,0.0491803278688525,18,1.44664031620553,0.260869565217391,0.059016393442623,15,1.25894331315355,0.189873417721519,0.0491803278688525
"1001",1001,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",15,1.58799028115238,0.223880597014925,0.0491803278688525,18,1.42597402597403,0.257142857142857,0.059016393442623,15,1.22785829307568,0.185185185185185,0.0491803278688525
"1002",1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",17,2.04375246353961,0.288135593220339,0.0557377049180328,17,1.4963924963925,0.26984126984127,0.0557377049180328,13,1.36818495514148,0.206349206349206,0.0426229508196721
"1003",1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,1,"encerra2=1",17,2.11546307629539,0.298245614035088,0.0557377049180328,16,1.45454545454545,0.262295081967213,0.0524590163934426,12,1.32608695652174,0.2,0.039344262295082
"1004",1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,1,"encerra2=1",17,2.11546307629539,0.298245614035088,0.0557377049180328,16,1.43108504398827,0.258064516129032,0.0524590163934426,12,1.30434782608696,0.19672131147541,0.039344262295082
"1005",1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",17,2.04375246353961,0.288135593220339,0.0557377049180328,17,1.47301136363636,0.265625,0.0557377049180328,13,1.34680706521739,0.203125,0.0426229508196721
"1006",1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",18,1.77325581395349,0.25,0.059016393442623,19,1.38636363636364,0.25,0.0622950819672131,16,1.30971551261406,0.197530864197531,0.0524590163934426
"1007",1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,"encerra2=1",18,1.85035389282103,0.260869565217391,0.059016393442623,17,1.30934343434343,0.236111111111111,0.0557377049180328,13,1.1341533180778,0.171052631578947,0.0426229508196721
"1008",1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,"encerra2=1",18,1.82392026578073,0.257142857142857,0.059016393442623,17,1.29140722291407,0.232876712328767,0.0557377049180328,13,1.10507246376812,0.166666666666667,0.0426229508196721
"1009",1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",18,1.74896463841988,0.246575342465753,0.059016393442623,19,1.36835891381346,0.246753246753247,0.0622950819672131,16,1.27815610267156,0.192771084337349,0.0524590163934426
"1010",1010,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",15,1.23715521903732,0.174418604651163,0.0491803278688525,21,1.21306818181818,0.21875,0.0688524590163934,16,1.10507246376812,0.166666666666667,0.0524590163934426
"1011",1011,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",18,1.3728432108027,0.193548387096774,0.059016393442623,24,1.33090909090909,0.24,0.0786885245901639,19,1.12480590062112,0.169642857142857,0.0622950819672131
"1012",1012,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",12,1.16597642561325,0.164383561643836,0.039344262295082,20,1.3692480359147,0.246913580246914,0.0655737704918033,15,1.13018774703557,0.170454545454545,0.0491803278688525
"1013",1013,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",14,1.46032831737346,0.205882352941176,0.0459016393442623,15,1.2415196743555,0.223880597014925,0.0491803278688525,11,1.12207357859532,0.169230769230769,0.0360655737704918
"1014",1014,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",14,1.46032831737346,0.205882352941176,0.0459016393442623,15,1.22326203208556,0.220588235294118,0.0491803278688525,11,1.10507246376812,0.166666666666667,0.0360655737704918
"1015",1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",17,1.79972231863936,0.253731343283582,0.0557377049180328,18,1.44664031620553,0.260869565217391,0.059016393442623,13,1.2675831202046,0.191176470588235,0.0426229508196721
"1016",1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,1,"encerra2=1",17,1.85509838998211,0.261538461538462,0.0557377049180328,17,1.40705563093623,0.253731343283582,0.0557377049180328,12,1.22408026755853,0.184615384615385,0.039344262295082
"1017",1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,"encerra2=1",17,1.85509838998211,0.261538461538462,0.0557377049180328,17,1.38636363636364,0.25,0.0557377049180328,12,1.20553359683794,0.181818181818182,0.039344262295082
"1018",1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",17,1.79972231863936,0.253731343283582,0.0557377049180328,18,1.42597402597403,0.257142857142857,0.059016393442623,13,1.24921235034657,0.188405797101449,0.0426229508196721
"1019",1019,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",14,1.18217054263566,0.166666666666667,0.0459016393442623,21,1.23887814313346,0.223404255319149,0.0688524590163934,16,1.12858464384829,0.170212765957447,0.0524590163934426
"1020",1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",18,1.53824600728495,0.216867469879518,0.059016393442623,20,1.33625410733844,0.240963855421687,0.0655737704918033,16,1.21939030484758,0.183908045977011,0.0524590163934426
"1021",1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",18,1.51993355481728,0.214285714285714,0.059016393442623,20,1.32034632034632,0.238095238095238,0.0655737704918033,16,1.19198827552516,0.179775280898876,0.0524590163934426
